ID	Evidences length	Evidences list	Complete evidences
Q2FW99	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWG8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FWH2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWH9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWI1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FWL9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWM5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWM7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWN9	1	TM	TM
Q2FWU3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FWY4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FX08	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FX86	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXB6	1	TM	TM
Q2FXC5	1	TM	TM
Q2FXC7	1	TM	TM
Q2FXE5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXE6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXF6	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q2FXG3	3	GPI|PHOBIUS_TM|TM	GPI|PHOBIUS_TM|TM
Q2FXJ6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXJ8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXK8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FXN7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FXS6	1	TM	TM
Q2FXZ9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FY03	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FY18	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYE7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYI0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYJ5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYK0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYL3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYN3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FYP8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYP9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYV8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FYW1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FYW4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FYZ6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZ11	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZ18	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZ91	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZ94	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FZ95	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZE4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZE5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZH3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZK1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZK3	1	TM	TM
Q2FZM0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZP2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZQ4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZQ5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZS9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZT8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FZT9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZV1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZV2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZV3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FZW5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G060	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G061	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G077	1	TM	TM
Q2G082	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G088	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G0B2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G0B3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G0B4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G0K4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G0P9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G0U0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G0W9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G0X1	1	TM	TM
Q2G0Z4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G107	1	PHOBIUS_TM	PHOBIUS_TM
Q2G117	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G120	1	PHOBIUS_TM	PHOBIUS_TM
Q2G127	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G128	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G129	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G138	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G140	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G145	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G161	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G162	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q2G163	2	SL|TM	SL|TM
Q2G168	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G171	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G187	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G188	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G199	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1D0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G1E8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1F1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G1F7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1H2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1N9	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q2G1P5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1P9	1	TM	TM
Q2G1Q0	1	TM	TM
Q2G1Q1	1	TM	TM
Q2G1Z1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1Z2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1Z5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G1Z6	4	GPI|PHOBIUS_TM|SL|TM	GPI|PHOBIUS_TM|SL|TM
Q2G210	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G212	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G213	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G214	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G219	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G226	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G239	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G253	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q2G294	2	SL|TM	SL|TM
Q2G2D4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2D9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2E1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2E4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2E5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2F4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2F8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G2G3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2H6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G2H7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2H8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G2H9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G2I3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2J0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G2S1	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2G2T6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2U8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2W1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2X5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2G2X6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9RFJ6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q9RQP6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q9RQP8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUQ6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUQ7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUQ8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUR4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FUR5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUR7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUS1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUS2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUS5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUT1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUT3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUU4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FUV1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUX2	1	TM	TM
Q2FUY7	1	TM	TM
Q2FUY8	1	TM	TM
Q2FUZ2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FUZ3	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FUZ7	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FV01	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV06	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV15	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV18	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV29	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV36	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV37	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV48	1	PHOBIUS_TM	PHOBIUS_TM
Q2FV51	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV65	1	TM	TM
Q2FV68	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FV70	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV73	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FV79	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FV91	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FV92	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FV97	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVA0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVB0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVB3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVB6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVB9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVC0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVC5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVD0	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVD6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVD8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVD9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVE1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVF2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVF3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVF4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVF6	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVG1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVG2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVG4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVG9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVH0	1	TM	TM
Q2FVH1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVH4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVH8	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVH9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVI0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVI1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVI6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVI8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVI9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVK0	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVK7	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVL1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVL3	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVN4	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVN5	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVN6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVN9	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVP1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVP2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVP4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVP6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVQ6	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVR4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVS2	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVS4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVS5	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVS6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVS8	2	PHOBIUS_TM|TM	PHOBIUS_TM|TM
Q2FVT9	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVU0	1	PHOBIUS_TM	PHOBIUS_TM
Q2FVU1	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVU4	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
Q2FVU6	3	PHOBIUS_TM|SL|TM	PHOBIUS_TM|SL|TM
